dataset,group,dim,lambda_scatter,seed,auc_ensemble,auc_comb_linear,auc_comb_gaussian,d_lin,d_gau
annealing_variant1,extended,128,10.0,2,0.858214,0.861111,0.879504,0.002897,0.02129
arrhythmia_variant1,extended,32,100.0,2,0.798084,0.802049,0.752159,0.003965,-0.045926
audiology_variant1,extended,16,100.0,2,0.975645,0.97936,0.982043,0.003715,0.006398
breast_cancer_variant1,extended,16,10.0,2,0.589575,0.677752,0.674956,0.088177,0.085381
creditA_plus_42_variant1,extended,32,1.0,2,0.797931,0.68013,0.696958,-0.117801,-0.100972
ecoli,extended,128,100.0,2,0.932515,0.890934,0.907294,-0.041581,-0.025222
german_1_14_variant1,extended,128,10.0,2,0.936939,0.935306,0.94102,-0.001633,0.004082
glass,extended,32,1000.0,2,0.918015,0.912621,0.673139,-0.005394,-0.244876
heart270_2_16_variant1,extended,128,1.0,2,0.833333,0.7675,0.771667,-0.065833,-0.061667
hepatitis_2_9_variant1,extended,256,10.0,2,0.958656,0.976744,0.984496,0.018088,0.02584
horse_1_12_variant1,extended,128,10.0,2,0.871585,0.865437,0.860656,-0.006148,-0.010929
iris_Irisvirginica_11_variant1,extended,256,1.0,2,0.976364,0.781818,0.730909,-0.194545,-0.245455
letter,extended,128,1000.0,2,0.841133,0.848227,0.851707,0.007093,0.010573
lymphography,extended,64,10.0,2,1.0,0.995305,0.995305,-0.004695,-0.004695
monks_0_12_variant1,extended,128,10.0,2,0.997807,0.998538,1.0,0.000731,0.002193
monks_0_25_variant1,extended,256,10.0,2,0.990175,0.998947,1.0,0.008772,0.009825
monks_0_4_variant1,extended,128,100.0,2,0.995614,0.997807,1.0,0.002193,0.004386
musk,extended,128,10.0,2,0.999917,1.0,1.0,8.3e-05,8.3e-05
sick_sick_35_variant1,extended,32,1.0,2,0.891619,0.892329,0.873857,0.00071,-0.017762
sick_sick_72_variant1,extended,32,1.0,2,0.84512,0.845999,0.832541,0.000878,-0.012579
thyroid,extended,32,10.0,2,0.983669,0.985944,0.981863,0.002274,-0.001807
tic_tac_toe_negative_12_variant1,extended,256,100.0,2,0.969382,0.998403,1.0,0.02902,0.030618
tic_tac_toe_negative_26_variant1,extended,256,100.0,2,0.985131,0.999263,1.0,0.014131,0.014869
tic_tac_toe_negative_32_variant1,extended,256,1000.0,2,0.954173,0.98762,0.998802,0.033446,0.044629
tic_tac_toe_negative_54_variant1,extended,128,0.0,2,0.898237,0.629985,0.80949,-0.268252,-0.088747
tic_tac_toe_negative_69_variant1,extended,128,0.0,2,0.991434,0.665092,0.843497,-0.326342,-0.147937
vertebral,extended,32,1000.0,2,0.698413,0.804127,0.784127,0.105714,0.085714
vote_republican_29_variant1,extended,16,10.0,2,0.990666,0.930257,0.906404,-0.06041,-0.084262
vowels,extended,32,1000.0,2,0.97798,0.903926,0.892347,-0.074054,-0.085633
wine,extended,64,1000.0,2,0.888136,0.759322,0.764407,-0.128814,-0.123729
zoo_variant1,extended,32,1000.0,2,0.969188,0.967787,0.959384,-0.001401,-0.009804
abalone_variant1,mixed,16,1000.0,2,0.753217,0.780374,0.800341,0.027157,0.047124
autos_variant1,mixed,256,10.0,2,0.804889,0.817778,0.808,0.012889,0.003111
bands_band_16_variant1,mixed,256,1000.0,2,0.798878,0.782051,0.784856,-0.016827,-0.014022
bands_band_27_variant1,mixed,256,100.0,2,0.714625,0.734093,0.73623,0.019468,0.021605
bands_band_34_variant1,mixed,128,10.0,2,0.729261,0.743778,0.742647,0.014517,0.013386
bands_band_42_variant1,mixed,256,1000.0,2,0.691697,0.763278,0.73138,0.071581,0.039683
bands_band_6_variant1,mixed,128,10.0,2,0.957265,0.963675,0.96047,0.00641,0.003205
nhanes_age_364,mixed,64,0.1,2,0.975039,0.969938,0.558832,-0.005101,-0.416207
psdas_dropout_1421,mixed,128,10.0,2,0.766886,0.799374,0.803687,0.032488,0.036801
chess_nowin_145_variant1,nominal,256,10.0,2,0.923618,0.95668,0.961528,0.033062,0.03791
chess_nowin_16_variant1,nominal,128,10.0,2,0.976048,0.991916,0.992515,0.015868,0.016467
chess_nowin_185_variant1,nominal,256,10.0,2,0.903415,0.940282,0.945868,0.036867,0.042453
chess_nowin_227_variant1,nominal,256,10.0,2,0.898494,0.932227,0.937107,0.033733,0.038614
chess_nowin_34_variant1,nominal,256,10.0,2,0.961818,0.983973,0.985241,0.022156,0.023424
chess_nowin_87_variant1,nominal,256,10.0,2,0.946782,0.973432,0.978237,0.02665,0.031454
cardio,numerical,16,0.1,2,0.966775,0.963113,0.839769,-0.003662,-0.127006
cardiotocography_2and3_33_variant1,numerical,128,10.0,2,0.906892,0.921513,0.925433,0.01462,0.018541
diabetes_tested_positive_26_variant1,numerical,16,10.0,2,0.949385,0.758462,0.705231,-0.190923,-0.244154
ionosphere_b_24_variant1,numerical,16,100.0,2,1.0,1.0,1.0,0.0,0.0
pageblocks_1_258_variant1,numerical,256,100.0,2,0.979712,0.985957,0.994236,0.006245,0.014524
pima_TRUE_55_variant1,numerical,16,1000.0,2,0.917164,0.639855,0.678982,-0.277309,-0.238182
sonar_M_10_variant1,numerical,128,10.0,2,0.97551,0.971429,0.973469,-0.004082,-0.002041
spambase_spam_56_variant1,numerical,128,0.1,2,0.749206,0.749488,0.702846,0.000282,-0.046359
thyroid_disease_variant1,numerical,16,0.1,2,0.640545,0.618087,0.586143,-0.022458,-0.054402
waveform_0_100_variant1,numerical,128,1.0,2,0.776738,0.776972,0.695488,0.000233,-0.081251
wbc_malignant_39_variant1,numerical,16,100.0,2,0.984407,0.414183,0.33264,-0.570224,-0.651767
wdbc_M_39_variant1,numerical,256,1000.0,2,0.991692,0.929523,0.919782,-0.062169,-0.071909
wpbc_variant1,numerical,64,0.0,2,0.756596,0.71234,0.369645,-0.044255,-0.38695
yeast_ERL_5_variant1,numerical,64,0.1,2,0.998239,0.998239,0.991549,0.0,-0.00669
